time_s,tau_control_x,tau_control_y,tau_control_z,tau_aero_x,tau_aero_y,tau_aero_z,tau_total_x,tau_total_y,tau_total_z
13,0.000616399793889615,0.000616175462013751,-0.000616240314427938,-9.02894449147075e-11,6.01249719612036e-07,-4.00863232934116e-07,0.00061639970360017,0.000616776711733363,-0.000616641177660872
14,0.000592763700510295,0.00059252529880197,-0.000592593471525585,-5.67516903082765e-10,6.03394061364745e-07,-4.02451869882524e-07,0.000592763132993392,0.000593128692863335,-0.000592995923395467
15,0.000569839159070028,0.000569587040997477,-0.000569658355172383,-1.11806130941802e-09,6.05610534029808e-07,-4.04113033086756e-07,0.000569838041008718,0.000570192651531507,-0.00057006246820547
16,0.000547603535641119,0.0005473380381408,-0.000547412324177772,-1.74379913450045e-09,6.0788772042819e-07,-4.05839736584488e-07,0.000547601791841984,0.000547945925861228,-0.000547818163914357
17,0.000526034870379333,0.000525756314701944,-0.000525833411708888,-2.44670130755942e-09,6.10214264016377e-07,-4.07625066323293e-07,0.000526032423678025,0.00052636652896596,-0.000526241036775211
18,0.000505111948763646,0.000504820641413982,-0.000504900396552145,-3.22882272166009e-09,6.12578896525547e-07,-4.09462195088481e-07,0.000505108719940924,0.000505433220310508,-0.000505309858747234
19,0.000484814220516938,0.0004845104540553,-0.000484592722006711,-4.09227988109978e-09,6.14970438107743e-07,-4.11344375149681e-07,0.000484810128237057,0.000485125424493407,-0.00048500406638186
20,0.000465121742589736,0.000464805796325376,-0.000464890438843763,-5.03922926277426e-09,6.17377795399691e-07,-4.13264929757173e-07,0.000465116703360474,0.000465423174120776,-0.000465303703773521
21,0.000446015179087309,0.000445687319771728,-0.000445774205233558,-6.07185283373418e-09,6.19789982842189e-07,-4.15217262527339e-07,0.000446009107234476,0.00044630710975457,-0.000446189422496085
22,0.000427475800390602,0.000427136282909315,-0.00042722528586603,-7.19234397312205e-09,6.2219613273818e-07,-4.17194859455348e-07,0.000427468608046629,0.000427758479042053,-0.000427642480725485
23,0.000409485490914433,0.000409134558983981,-0.000409225559712405,-8.40289364190521e-09,6.24585508506293e-07,-4.19191293140769e-07,0.000409477088020791,0.000409759144492487,-0.000409644751005545
24,0.000392026807705613,0.000391664694657944,-0.000391757578647593,-9.70568345315938e-09,6.26947524861272e-07,-4.2120023393128e-07,0.00039201710202216,0.000392291642182805,-0.000392178778881525
25,0.000375082864069192,0.000374709793452149,-0.00037480445103486,-1.11028604012738e-08,6.29271738879444e-07,-4.23215435542718e-07,0.000375071761208791,0.000375339065191028,-0.000375227666470403
26,0.000358637300101725,0.000358253486231885,-0.000358349812248264,-1.25965200511838e-08,6.31547857521939e-07,-4.25230734470968e-07,0.000358624703581674,0.000358885034089406,-0.000358775042982735
27,0.000342674282691269,0.000342279931206788,-0.000342377824672655,-1.41886933395772e-08,6.33765744872577e-07,-4.27240050417622e-07,0.000342660093997929,0.000342913696951661,-0.000342805064723072
28,0.000327178505426742,0.000326773813840084,-0.000326873177613018,-1.58813339673386e-08,6.35915438830283e-07,-4.29237393215742e-07,0.000327162624092775,0.000327409729278914,-0.000327302415006234
29,0.000312135180809431,0.000311720339055887,-0.000311821079510387,-1.76763054797471e-08,6.37987156425398e-07,-4.31216862067461e-07,0.000312117504503951,0.000312358326212312,-0.000312252296372455
30,0.000297530104053719,0.000297105295136028,-0.000297207321770728,-1.957537716083e-08,6.39971311266542e-07,-4.33172655806679e-07,0.000297510528676558,0.000297745266447295,-0.000297640494426535
31,0.000283349558655388,0.000282914959148013,-0.000283018184299798,-2.15802015629019e-08,6.4185851037438e-07,-4.35099063298085e-07,0.000283327978453825,0.000283556817658387,-0.000283453283363096
32,0.000269580267440043,0.000269136047925322,-0.000269240386537607,-2.36922967933524e-08,6.43639558769242e-07,-4.3699046059117e-07,0.00026955657514325,0.000269779687484091,-0.000269677376998198
33,0.000256209392563117,0.00025575571806741,-0.000255861087458417,-2.59130345136511e-08,6.45305469825722e-07,-4.38841313822957e-07,0.000256183479528604,0.000256401023537236,-0.00025629992877224
34,0.000243224535509866,0.00024276156593971,-0.000242867885570747,-2.8243628412555e-08,6.46847476448677e-07,-4.40646182826403e-07,0.000243196291881454,0.000243408413416158,-0.000243308531753573
35,0.000230613731962607,0.000230141622536432,-0.000230248813785222,-3.06851225843456e-08,6.48257036571833e-07,-4.42399720922221e-07,0.000230583046840022,0.000230789879573004,-0.000230691213506144
36,0.0002183654609141,0.000217884362629937,-0.000217992348550677,-3.32383852488716e-08,6.49525851284776e-07,-4.44096684910214e-07,0.000218332222528851,0.000218533888481222,-0.000218436445235587
37,0.000206468673945609,0.000205978734080071,-0.000206087439134922,-3.59041015934386e-08,6.50645870307227e-07,-4.45731936332758e-07,0.000206432769844015,0.000206629379950378,-0.000206533171071255
38,0.00019491268691782,0.000194414049380055,-0.000194523399286175,-3.86827508124146e-08,6.51609295691127e-07,-4.47300436289397e-07,0.000194874004167008,0.000195065658675746,-0.000194970699722465
39,0.000183687168393973,0.000183179974065756,-0.000183289895654362,-4.1574594897594e-08,6.52408592627604e-07,-4.48797248904934e-07,0.000183645593799075,0.000183832382658384,-0.000183738692903267
40,0.000172782139639856,0.000172266526715682,-0.000172376947791117,-4.45796692038493e-08,6.530365010256e-07,-4.50217545903743e-07,0.000172737559970652,0.000172919563216708,-0.000172827165337021
41,0.00016218797462381,0.000161664078950985,-0.000161774928149784,-4.76977737326078e-08,6.53486048213213e-07,-4.51556612171815e-07,0.000162140276850077,0.000162317564999198,-0.000162226484761955
42,0.000151895394297527,0.000151363349711563,-0.000151474556367326,-5.09284645282418e-08,6.53750556264338e-07,-4.52809847773318e-07,0.000151844465832998,0.000152017100267828,-0.000151927366215099
43,0.000141895468251698,0.000141355406941998,-0.000141466900944427,-5.4271052354861e-08,6.53823660673072e-07,-4.53972779959132e-07,0.000141841197199343,0.000142009230602671,-0.000141920873724386
44,0.000132179648824744,0.000131631701735629,-0.00013174341335317,-5.77245987855942e-08,6.53699316463491e-07,-4.55041065936458e-07,0.000132121924225958,0.000132285401052093,-0.000132198454419106
45,0.000122739672063369,0.000122183969162493,-0.000122295828972332,-6.12878976228106e-08,6.53371809278743e-07,-4.56010494068289e-07,0.000122678384165746,0.000122837340971772,-0.000122751839466401
46,0.000113567546589718,0.000113004217123502,-0.000113116155953391,-6.49594683605857e-08,6.52835768436123e-07,-4.56876990397614e-07,0.000113502587121357,0.000113657052891938,-0.000113573032943789
47,0.000104655553601371,0.000104084726350443,-0.000104196675220522,-6.87375516463687e-08,6.52086180131173e-07,-4.57636625937377e-07,0.000104586816049724,0.000104736812530574,-0.000104654311846459
48,9.59962468713444e-05,9.54180504059765e-05,-9.55299404706011e-05,-7.26201057365853e-08,6.51118400542774e-07,-4.58285624225731e-07,9.59236267656078e-05,9.60691688065193e-05,-9.59882260948269e-05
