T,x,y,z,vx,vy,vz,omega0,omega1,omega2,omega3,wx,wy,wz
18,6619524.83287912,139652.05178391,-0.00498027024922049,-163.901398544548,7757.29484925113,-0.000553342904153428,0.5,-0.5,-0.5,0.5,0,0,0
19,6619356.37937512,147409.248818468,-0.00554898138862434,-173.005571015892,7757.09744166435,-0.00058407924487216,0.5,-0.5,-0.5,0.5,0,0,0
20,6619178.82181605,155166.243110952,-0.00614842847239515,-182.109506611942,7756.88936518526,-0.000614814785877552,0.5,-0.5,-0.5,0.5,0,0,0
21,6618992.16044501,162923.023992617,-0.00677861067977862,-191.21319286774,7756.6706200962,-0.000645549485086729,0.5,-0.5,-0.5,0.5,0,0,0
22,6618796.39551758,170679.580795015,-0.00743952714793961,-200.316617318724,7756.44120669395,-0.000676283300418252,0.5,-0.5,-0.5,0.5,0,0,0
23,6618591.52730179,178435.902850007,-0.00813117697196303,-209.419767500712,7756.20112528977,-0.00070701618979204,0.5,-0.5,-0.5,0.5,0,0,0
24,6618377.55607816,186191.979489736,-0.00885355920484942,-218.522630949734,7755.95037620942,-0.00073774811112847,0.5,-0.5,-0.5,0.5,0,0,0
25,6618154.48213963,193947.800046669,-0.00960667285751814,-227.625195202156,7755.6889597931,-0.000768479022348985,0.5,-0.5,-0.5,0.5,0,0,0
26,6617922.30579164,201703.353853648,-0.0103905168988147,-236.727447794828,7755.41687639551,-0.000799208881376771,0.5,-0.5,-0.5,0.5,0,0,0
27,6617681.02735208,209458.630243891,-0.011205090255511,-245.829376265083,7755.1341263858,-0.000829937646136764,0.5,-0.5,-0.5,0.5,0,0,0
28,6617430.6471513,217213.618550994,-0.0120503918123054,-254.930968150739,7754.84071014762,-0.000860665274555651,0.5,-0.5,-0.5,0.5,0,0,0
29,6617171.16553213,224968.308108937,-0.0129264204118225,-264.032210989995,7754.53662807906,-0.00089139172456128,0.5,-0.5,-0.5,0.5,0,0,0
30,6616902.58284982,232722.688252055,-0.013833174854607,-273.133092321346,7754.22188059271,-0.000922116954082233,0.5,-0.5,-0.5,0.5,0,0,0
31,6616624.89947214,240476.748315132,-0.0147706538991371,-282.233599683834,7753.89646811563,-0.000952840921049032,0.5,-0.5,-0.5,0.5,0,0,0
32,6616338.11577927,248230.477633407,-0.0157388562618263,-291.333720617082,7753.56039108932,-0.000983563583394279,0.5,-0.5,-0.5,0.5,0,0,0
33,6616042.23216387,255983.865542576,-0.0167377806170234,-300.433442661292,7753.21364996978,-0.00101428489905265,0.5,-0.5,-0.5,0.5,0,0,0
34,6615737.24903106,263736.901378802,-0.0177674255970143,-309.532753357238,7752.85624522747,-0.00104500482596084,0.5,-0.5,-0.5,0.5,0,0,0
35,6615423.16679842,271489.574478695,-0.0188277897920161,-318.631640246083,7752.48817734732,-0.00107572332205659,0.5,-0.5,-0.5,0.5,0,0,0
36,6615099.98589599,279241.874179326,-0.0199188717501783,-327.730090869452,7752.10944682872,-0.00110644034527903,0.5,-0.5,-0.5,0.5,0,0,0
37,6614767.70676626,286993.789818308,-0.0210406699775967,-336.828092769643,7751.72005418555,-0.0011371558535697,0.5,-0.5,-0.5,0.5,0,0,0
38,6614426.32986418,294745.310733792,-0.022193182938314,-345.925633489632,7751.31999994613,-0.00116786980487254,0.5,-0.5,-0.5,0.5,0,0,0
39,6614075.85565716,302496.426264474,-0.0233764090543195,-355.022700573073,7750.90928465326,-0.00119858215713393,0.5,-0.5,-0.5,0.5,0,0,0
40,6613716.28462506,310247.125749602,-0.0245903467055515,-364.119281564288,7750.48790886421,-0.00122929286830254,0.5,-0.5,-0.5,0.5,0,0,0
41,6613347.61726021,317997.398528947,-0.0258349942298886,-373.215364008043,7750.05587315068,-0.00126000189632823,0.5,-0.5,-0.5,0.5,0,0,0
